Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,157,6,Some Random Commen with Id 0
1,0,5,95,3,Some Random Commen with Id 1
2,1,5,9,1,Some Random Commen with Id 2
3,1,5,141,2,Some Random Commen with Id 3
4,1,5,58,2,Some Random Commen with Id 4
5,1,5,27,3,Some Random Commen with Id 5
6,1,5,81,6,Some Random Commen with Id 6
7,1,5,8,4,Some Random Commen with Id 7
8,1,5,190,2,Some Random Commen with Id 8
9,1,5,47,3,Some Random Commen with Id 9
10,2,0,134,3,Some Random Commen with Id 10
11,2,0,163,8,Some Random Commen with Id 11
12,2,0,79,4,Some Random Commen with Id 12
13,2,0,60,1,Some Random Commen with Id 13
14,2,0,92,5,Some Random Commen with Id 14
15,2,0,19,5,Some Random Commen with Id 15
16,3,7,43,7,Some Random Commen with Id 16
17,3,7,39,0,Some Random Commen with Id 17
18,4,2,151,0,Some Random Commen with Id 18
19,4,2,85,8,Some Random Commen with Id 19
20,4,2,57,3,Some Random Commen with Id 20
21,4,2,176,9,Some Random Commen with Id 21
22,4,2,16,4,Some Random Commen with Id 22
23,5,6,139,3,Some Random Commen with Id 23
24,5,6,108,3,Some Random Commen with Id 24
25,5,6,45,0,Some Random Commen with Id 25
26,5,6,170,9,Some Random Commen with Id 26
27,5,6,129,7,Some Random Commen with Id 27
28,6,2,42,5,Some Random Commen with Id 28
29,6,2,106,1,Some Random Commen with Id 29
30,6,2,9,3,Some Random Commen with Id 30
31,6,2,54,6,Some Random Commen with Id 31
32,6,2,48,5,Some Random Commen with Id 32
33,6,2,159,9,Some Random Commen with Id 33
34,6,2,19,7,Some Random Commen with Id 34
35,7,7,94,8,Some Random Commen with Id 35
36,7,7,0,9,Some Random Commen with Id 36
37,9,4,41,9,Some Random Commen with Id 37
38,9,4,63,5,Some Random Commen with Id 38
39,9,4,40,9,Some Random Commen with Id 39
40,9,4,57,5,Some Random Commen with Id 40
41,10,4,104,3,Some Random Commen with Id 41
42,10,4,45,6,Some Random Commen with Id 42
43,10,4,131,2,Some Random Commen with Id 43
44,10,4,104,8,Some Random Commen with Id 44
